,x,y,words
0,4.243638,-6.4070187,</s>
1,-1.098841,-0.79205287,in
2,1.837916,-0.65052575,for
3,9.672481,-1.1767304,that
4,16.616602,25.762997,is
5,-2.2405338,2.3201904,on
6,-28.097336,12.916476,##
7,44.242416,39.37393,The
8,0.9039707,-1.5528347,with
9,6.9236097,20.782282,said
10,16.12275,25.55453,was
11,3.4728684,-4.082085,the
12,-2.386284,-0.35628092,at
13,12.420903,5.355069,not
14,6.6787553,-0.43384618,as
15,11.305628,-0.21312273,it
16,7.2216077,11.753593,be
17,-1.062313,-1.6027907,from
18,0.11713813,-2.6408541,by
19,8.474643,13.537239,are
20,26.635931,8.694033,I
21,5.3223324,10.597502,have
22,-9.341573,-12.540394,he
23,31.909485,15.450629,will
24,3.7288046,10.887836,has
25,-49.90412,6.3165383,####
26,-10.023925,-12.921317,his
27,64.35884,11.789264,an
28,3.2702217,-3.0536156,this
29,6.770456,1.7743489,or
30,7.899636,-6.670946,their
31,-8.748727,-8.884785,who
32,8.528826,-5.9894185,they
33,8.98418,3.3498623,but
34,-29.001678,5.493227,$
35,4.671482,11.118676,had
36,-44.692715,6.581005,year
37,8.393819,13.554552,were
38,26.911867,6.6233563,we
39,8.39532,8.995573,more
40,-27.705597,11.15288,###
41,-6.2823596,5.0155854,up
42,4.295952,9.847318,been
43,29.341066,8.564746,you
44,3.0139399,-23.639065,its
45,4.2574067,-1.7960007,one
46,1.5841099,4.476599,about
47,30.357338,15.762673,would
48,3.4419703,-5.3155293,which
49,-4.7115574,5.4406157,out
50,32.68797,16.004251,can
51,42.26872,38.38034,It
52,8.123518,-3.4512405,all
53,6.058533,-1.5878633,also
54,-21.474419,13.8092985,two
55,-7.2307773,10.694657,after
56,-20.909954,21.359915,first
57,35.821,49.349567,He
58,24.88238,14.955084,do
59,-5.902382,-0.2565072,time
60,8.622584,9.351678,than
61,-4.284882,1.8704232,when
62,43.705734,46.221844,We
63,-12.203759,8.631757,over
64,-9.761389,11.1696205,last
65,1.0789514,-5.1130943,new
66,6.9103174,-3.2499695,other
67,-10.821217,-14.426699,her
68,-11.437487,-24.376802,people
69,-2.8153894,4.52474,into
70,32.45408,39.69189,In
71,26.916,5.930996,our
72,12.550759,8.006328,there
73,44.959087,39.447784,A
74,-10.865357,-14.554885,she
75,30.758774,15.518122,could
76,11.961186,2.296959,just
77,-47.47088,10.406737,years
78,9.637355,-3.1154382,some
79,-37.539165,-34.10938,U.S.
80,-22.263752,13.830489,three
81,-28.461294,6.8625207,million
82,8.673143,-6.2324495,them
83,14.854059,5.4210443,what
84,38.625668,42.456104,But
85,12.072861,3.2922885,so
86,11.704886,8.80612,no
87,20.002975,6.4349065,like
88,11.210888,4.4800544,if
89,5.1301928,-0.5201377,only
90,-33.4045,5.867992,percent
91,8.558975,44.76569,get
92,28.064005,16.714705,did
93,-9.629064,-12.091973,him
94,-38.146667,30.86389,game
95,-3.9179254,5.7167263,back
96,9.648418,4.565599,because
97,5.9242973,4.532337,now
98,-31.120424,10.366184,#.#
99,-6.949816,10.312802,before
100,10.74874,-46.707756,company
101,7.580244,1.3452867,any
102,-43.937237,26.912811,team
103,1.0493588,0.19451894,against
104,-4.9755855,5.1491637,off
105,42.74798,38.33015,This
106,20.617237,-1.3393823,most
107,23.116476,40.256657,made
108,-1.7642902,3.7603557,through
109,23.027224,39.915855,make
110,-21.678139,21.786127,second
111,-31.258736,-28.4495,state
112,6.7791615,-0.11124207,well
113,-43.16923,5.212311,day
114,-40.04284,8.205742,season
